176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 977.9325273958565
2, 1, 0, 978.424604512554
23, 5, 5, 1464.5612321885728
35, 23, 6, 1962.1550574520827
40, 23, 0, 1962.8867810833176
47, 40, 0, 2294.333095107642
66, 47, 6, 2988.9063113680836
81, 66, 9, 3670.84084674433
89, 66, 0, 3671.572684221152
92, 89, 0, 3671.6294090827746
117, 92, 2, 3805.722187133182
129, 117, 11, 5252.1157078497645
133, 117, 0, 5252.791052313343
137, 133, 0, 5252.852201425998
156, 137, 14, 5281.009082925987
176, 156, 5, 5881.563319235288
