node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.355775980953675
4, 1, 2, 0.6542500122682713
51, 1, 49, 0.7003578185797462
27, 1, 25, 0.8128959411795456
95, 9, 16, 0.8978050653179842
99, 9, 18, 1.1981660618392693
117, 95, 29, 1.2417272891251165
168, 117, 48, 1.5537945934122002
231, 168, 13, 1.7317002699513697
195, 117, 15, 1.7446578395105603
251, 231, 29, 1.759064922115847
248, 231, 6, 1.8504933800662329
293, 117, 36, 2.0620032376072244
388, 231, 1, 2.2890561650512087
380, 251, 18, 2.5673262999288227
420, 251, 54, 2.7037995543840867
434, 380, 13, 2.8466311574398713
432, 380, 28, 2.8909578256383486
446, 434, 59, 3.7395971185683012
513, 434, 39, 3.9858854143732856
584, 446, 49, 4.488343271381974
567, 446, 11, 4.606497956534846
603, 446, 5, 4.636379119496705
546, 446, 59, 4.637295042460692
600, 446, 53, 4.652742146982241
606, 584, 48, 4.675462807643495
602, 446, 26, 4.748553274304085
672, 606, 33, 5.4802164490703
650, 606, 13, 5.48721220253294
724, 606, 4, 5.601943790347993
701, 606, 35, 5.898997577384382
