node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.4280330315075494
51, 1, 49, 0.8081609062022259
4, 1, 2, 0.826851159985193
27, 1, 25, 0.9994335257368454
95, 9, 16, 1.008359109243062
99, 9, 18, 1.2583480413679957
117, 95, 29, 1.425388379119167
168, 117, 48, 1.6615139920501054
231, 168, 13, 1.7766157811407102
195, 117, 15, 1.855366111490562
248, 231, 6, 1.9418716312380753
251, 231, 29, 1.9441784929018087
293, 117, 36, 2.1539117370739294
388, 231, 1, 2.5178952155007956
380, 251, 18, 2.6065880281370903
420, 251, 54, 2.777595821554282
432, 380, 28, 2.8848134026482355
434, 380, 13, 2.887606252901842
446, 434, 59, 3.8576950369205094
513, 434, 39, 4.148703115822938
584, 446, 49, 4.572226670945494
567, 446, 11, 4.600223917222339
603, 446, 5, 4.630630573060021
600, 446, 53, 4.6468143836433695
602, 446, 26, 4.74135460908495
546, 446, 59, 4.757273691700426
606, 584, 48, 4.782307395434378
650, 606, 13, 5.529529745906534
672, 606, 33, 5.563054469001061
724, 606, 4, 5.884645798455163
701, 606, 35, 5.8940430338400915
